empathy,8,743,85-170,SOF-LAN,ANOTHER
Voltage (feat. Hidemaru),8,670,30-125,SOF-LAN,ANOTHER
2hot2eat,9,854,140-155,SOF-LAN,ANOTHER
era (nostalmix),9,786,90-180,SOF-LAN,ANOTHER
era (step mix),9,875,90-180,SOF-LAN,ANOTHER
Agnus Dei,10,1051,70-168,SOF-LAN,ANOTHER
GRADIUS -FULL SPEED-,10,1074,160-220,SOF-LAN,ANOTHER
op.31 叙情,10,836,100-350,SOF-LAN,ANOTHER
Surf on the Light,10,1154,60-160,SOF-LAN,ANOTHER
(This Is Not) The Angels,11,1364,33-130,SOF-LAN,ANOTHER
Ah Hah Yeah,11,1108,115-230,SOF-LAN,ANOTHER
D,11,1313,30-240,SOF-LAN,ANOTHER
four pieces of heaven,11,1225,125-195,SOF-LAN,ANOTHER
FUTURE is Dead,11,1151,110-220,SOF-LAN,ANOTHER
Linus,11,1105,160-176,SOF-LAN,ANOTHER
nostos,11,1359,86-144,SOF-LAN,ANOTHER
Onyx,11,1214,44-174,SOF-LAN,ANOTHER
SABER WING,11,1438,37-444,SOF-LAN,ANOTHER
Theory,11,1342,102-146,SOF-LAN,ANOTHER
Concertino in Blue,12,1311,103-155,SOF-LAN,ANOTHER
DAY DREAM,12,1075,80-300,SOF-LAN,ANOTHER
DropZ-Line-,12,1648,50-400,SOF-LAN,ANOTHER
Fascination MAXX,12,1313,100-400,SOF-LAN,ANOTHER
ICARUS,12,1301,126-251,SOF-LAN,ANOTHER
ICARUS,12,2000,126-251,SOF-LAN,LEGGENDARIA
JOMANDA,12,1918,90-300,SOF-LAN,ANOTHER
n/a,12,1867,85-255,SOF-LAN,ANOTHER
New Castle Legions,12,1418,120-180,SOF-LAN,ANOTHER
PARANOiA ～HADES～,12,1395,75-300,SOF-LAN,ANOTHER
POSSESSION,12,1521,23-185,SOF-LAN,ANOTHER
ruin of opals,12,1646,220-390,SOF-LAN,ANOTHER
Silver Bullet,12,1662,152-172,SOF-LAN,ANOTHER
Y&Co. is dead or alive,12,1478,145-876,SOF-LAN,ANOTHER
ピアノ協奏曲第１番”蠍火”,12,1414,165-188,SOF-LAN,ANOTHER
ワルツ第17番 ト短調”大犬のワルツ”,12,1684,230-320,SOF-LAN,ANOTHER
音楽,12,1487,210-360,SOF-LAN,ANOTHER
桜,12,1123,13-320,SOF-LAN,ANOTHER
聖人の塔,12,1567,97-194,SOF-LAN,ANOTHER
冥,12,2000,66-200,SOF-LAN,ANOTHER
"ピアノ独奏無言歌 ""灰燼""",12,1977,100-200,SOF-LAN,ANOTHER
